CPM_COMMON_TASK_DATA	STRING12	文本字段12
CPM_COMMON_TASK_DATA	STRING13	文本字段13
CPM_COMMON_TASK_DATA	STRING14	文本字段14
CPM_COMMON_TASK_DATA	STRING15	文本字段15
CPM_COMMON_TASK_DATA	STRING16	文本字段16
CPM_COMMON_TASK_DATA	STRING17	文本字段17
CPM_COMMON_TASK_DATA	STRING18	文本字段18
CPM_COMMON_TASK_DATA	STRING19	文本字段19
CPM_COMMON_TASK_DATA	STRING20	文本字段20
CPM_COMMON_TASK_DATA	LONG_STRING1	长文本1
CPM_COMMON_TASK_DATA	LONG_STRING2	长文本2
CPM_COMMON_TASK_DATA	LONG_STRING3	长文本3
CPM_COMMON_TASK_DATA	LONG_STRING4	长文本4
CPM_COMMON_TASK_DATA	NUM1	数字1
CPM_COMMON_TASK_DATA	NUM2	数字2
CPM_COMMON_TASK_DATA	NUM3	数字3
CPM_COMMON_TASK_DATA	NUM4	数字4
CPM_COMMON_TASK_DATA	NUM5	数字5
CPM_COMMON_TASK_DATA	NUM6	数字6
CPM_COMMON_TASK_DATA	NUM7	数字7
CPM_COMMON_TASK_DATA	NUM8	数字8
CPM_COMMON_TASK_DATA	NUM9	数字9
CPM_COMMON_TASK_DATA	NUM10	数字10
CPM_COMMON_TASK_DATA	BUSS_STATUS	业务状态
CPM_COMMON_TASK_DATA	ARRIVE_TIME	到达时间
CPM_COMMON_TASK_DATA	ACCEPT_TIME	接受时间
CPM_COMMON_TASK_DATA	BUSINESS_NO	业务号码
CPM_COMMON_TASK_DATA	END_TIME	结束时间
CPM_COMMON_ATTACHMENT	ROW_ID	ROW_ID
CPM_COMMON_ATTACHMENT	TASK_DATA_ID	工单ID
CPM_COMMON_ATTACHMENT	NAME	附件名称
CPM_COMMON_ATTACHMENT	PATH	存储路径
CPM_COMMON_ATTACHMENT	ORIGINAL_NAME	原始文件名
CPM_COMMON_ATTACHMENT	CREATE_TIME	上传时间
CPM_COMMON_ATTACHMENT	CREATER	上传人
CPM_COMMON_ATTACHMENT	LAST_MODIFIER	修改人
CPM_COMMON_ATTACHMENT	LAST_MODIFY_TIME	修改时间
CPM_COMMON_CONTACT_LINK	SHEET_ID	工单ID
CPM_COMMON_CONTACT_LINK	CONTACT_ID	接触记录ID
CPM_COMMON_CONTACT_LINK	ROW_ID	记录ID
CPM_COMMON_DIMENSION_ATTR	ROW_ID	主键ID
CPM_COMMON_DIMENSION_ATTR	TASK_CATEGORY_ID	任务类型
CPM_COMMON_DIMENSION_ATTR	ENTITY_ATTR_ID	ENTITY_ATTR_ID
CPM_COMMON_DIMENSION_ATTR	GENERAL_CODE_TYPE	GENERAL_CODE_TYPE
CPM_COMMON_DIMENSION_ATTR	ENTITY_ATTR_NAME	ENTITY_ATTR_NAME
CPM_COMMON_DIMENSION_ATTR	DIMENSION_TYPE	DIMENSION_TYPE
CPM_COMMON_HALFWAY_VIEW	ROW_ID	行ID
CPM_COMMON_HALFWAY_VIEW	TASKT_ID	任务ID
